Duration (ms),Start date,End date,Start station,End station,Bike number,Member type
221834,2017/1/1 0:00,2017/1/1 0:04,3rd & Tingey St SE,M St & New Jersey Ave SE,W00869,Member
1676854,2017/1/1 0:06,2017/1/1 0:34,Lincoln Memorial,8th & D St NW,W00894,Casual
1356956,2017/1/1 0:07,2017/1/1 0:29,Henry Bacon Dr & Lincoln Memorial Circle NW,New York Ave & 15th St NW,W21945,Casual
1327901,2017/1/1 0:07,2017/1/1 0:29,Henry Bacon Dr & Lincoln Memorial Circle NW,New York Ave & 15th St NW,W20012,Casual
1636768,2017/1/1 0:07,2017/1/1 0:34,Lincoln Memorial,8th & D St NW,W22786,Casual
1603358,2017/1/1 0:08,2017/1/1 0:34,Lincoln Memorial,8th & D St NW,W20890,Casual
473337,2017/1/1 0:08,2017/1/1 0:16,13th & H St NE,3rd & H St NE,W20340,Member
200077,2017/1/1 0:11,2017/1/1 0:14,Adams Mill & Columbia Rd NW,Calvert St & Woodley Pl NW,W20398,Member
748899,2017/1/1 0:13,2017/1/1 0:25,Prince St & Union St,Saint Asaph & Madison St,W00365,Member
912960,2017/1/1 0:14,2017/1/1 0:29,14th & R St NW,Eckington Pl & Q St NE,W20771,Member
383416,2017/1/1 0:16,2017/1/1 0:22,Market Square / King St & Royal St,King St Metro South,W00232,Member
600116,2017/1/1 0:16,2017/1/1 0:26,Prince St & Union St,King St Metro South,W22493,Member
2062467,2017/1/1 0:16,2017/1/1 0:50,Prince St & Union St,Saint Asaph St & Pendleton  St,W20659,Casual
2017185,2017/1/1 0:16,2017/1/1 0:50,Prince St & Union St,Saint Asaph St & Pendleton  St,W01371,Casual
404401,2017/1/1 0:17,2017/1/1 0:23,3rd & H St NE,5th St & Massachusetts Ave NW,W21959,Member
981681,2017/1/1 0:18,2017/1/1 0:34,Lamont & Mt Pleasant NW,20th St & Florida Ave NW,W01127,Member
750576,2017/1/1 0:18,2017/1/1 0:31,17th & G St NW,15th & P St NW,W20571,Member
