city,companyId,companySize,businessZones,firstType,secondType,education,industryField,positionId,positionAdvantage,positionName,positionLables,salary,workYear
上海,8581,2000人以上,['张江'],技术,数据开发,硕士,移动互联网,2537336,知名平台,数据分析师,"['分析师', '数据分析', '数据挖掘', '数据']",7k-9k,应届毕业生
上海,23177,500-2000人,"['五里桥', '打浦桥', '制造局路']",技术,数据开发,本科,金融,2427485,"挑战机会,团队好,与大牛合作,工作环境好",数据分析师-CR2017-SH2909,"['分析师', '数据分析', '数据挖掘', '数据']",10k-15k,应届毕业生
上海,57561,50-150人,['打浦桥'],设计,数据分析,本科,移动互联网,2511252,"时间自由,领导nic",数据分析师,"['分析师', '数据分析', '数据']",4k-6k,应届毕业生
上海,7502,150-500人,"['龙华', '上海体育场', '万体馆']",市场与销售,数据分析,本科,"企业服务,数据服务",2427530,五险一金 绩效奖金 带薪年假 节日福利,大数据业务分析师【数云校招】,"['商业', '分析师', '大数据', '数据']",6k-8k,应届毕业生
上海,130876,15-50人,"['上海影城', '新华路', '虹桥']",技术,软件开发,本科,其他,2245819,在大牛下指导,BI开发/数据分析师,"['分析师', '数据分析', '数据', 'BI']",2k-3k,应届毕业生
上海,28095,50-150人,,金融类,天使投资/VC/PE,本科,金融,2580543,"留用机会,精品投行,优秀团队,氛围轻松",助理分析师,"['实习', '投资', 'FA', '行业研究', '分析师']",10k-15k,应届毕业生
上海,2002,150-500人,"['龙华', '植物园', '上海南站']",技术,后端开发,本科,"移动互联网,电子商务",1449715,薪资福利待遇好，晋升空间大,数据工程师,['数据'],7k-14k,应届毕业生
上海,21863,2000人以上,"['黄兴公园', '长白新村', '延吉']",产品/需求/项目类,产品设计/需求分析,硕士,金融,2568628,健康体检,数据咨询顾问(2017年毕业),"['需求分析', '顾问', '咨询', '咨询顾问', '数据']",5k-7k,应届毕业生
上海,121208,15-50人,"['上海电视台', '南京西路', '人民广场']",技术,后端开发,本科,"移动互联网,医疗健康",2416852,"扁平管理,上升空间大,领导好,弹性工作",数据处理工程师（实习生）,"['后端开发', '数据']",4k-8k,应届毕业生
上海,58109,150-500人,"['漕宝路', '万源城', '东兰路']",技术,后端开发,本科,电子商务,1605795,向大牛学习，有留司机会,数据处理实习生,['数据'],2k-4k,应届毕业生
上海,1938,150-500人,"['万源城', '漕宝路', '东兰路']",技术,后端开发,本科,"移动互联网,游戏",2157863,带薪年假 节日福利 出国机会 萌妹纸多,大数据平台开发实习生,"['平台', '大数据', '数据']",5k-6k,应届毕业生
上海,51223,150-500人,,设计,用户研究,本科,"电子商务,O2O",2548985,"可转正,成长空间大",数据分析专员（实习生）,"['数据分析', '数据']",2k-4k,应届毕业生
上海,36009,500-2000人,"['梅陇', '南方商城', '古美']",技术,软件开发,本科,移动互联网,2392425,"有爱的同事,欢快的氛围",BI数据分析实习生（2017年毕业）,"['数据分析', '数据', 'BI']",2k-3k,应届毕业生
上海,63922,500-2000人,"['肇嘉浜路', '徐家汇', '交通大学']",市场与销售,市场/营销,本科,"移动互联网,金融",1243515,工资自己定，期权任性发，半年晋升,数据专员,['数据'],4k-6k,应届毕业生
上海,48294,50-150人,"['虹桥', '古北', '虹梅路']",技术,后端开发,硕士,"电子商务,社交网络",2392372,旺旺集团旗下电商，扁平管理，人性化环境,数据工程师(大数据方向实习生),"['大数据', '数据']",4k-8k,应届毕业生
上海,23177,500-2000人,"['五里桥', '打浦桥', '制造局路']",技术,后端开发,本科,金融,2427555,"机会挑战,技术牛,团队年轻,工作环境好",数据研发工程师-CR2017-SH2913,['数据'],10k-15k,应届毕业生
上海,7502,150-500人,,技术,后端开发,硕士,"企业服务,数据服务",2414480,大牛团队，奶妈助攻，六险一金，不要不来,大数据工程师【校招】,"['大数据', '数据']",10k-15k,应届毕业生
