红楼梦,[清]曹雪芹著/人民文学出版社/1996-12/59.70元,9.6
活着,余华/作家出版社/2012-8-1/20.00元,9.4
百年孤独,[哥伦比亚]加西亚·马尔克斯/范晔/南海出版公司/2011-6/39.50元,9.2
1984,[英]乔治·奥威尔/刘绍铭/北京十月文艺出版社/2010-4-1/28.00,9.3
飘,[美国]玛格丽特·米切尔/李美华/译林出版社/2000-9/40.00元,9.3
三体全集:地球往事三部曲,刘慈欣/重庆出版社/2012-1-1/168.00元,9.4
三国演义（全二册）,[明]罗贯中/人民文学出版社/1998-05/39.50元,9.3
白夜行,[日]东野圭吾/刘姿君/南海出版公司/2013-1-1/39.50元,9.1
福尔摩斯探案全集（上中下）,[英]阿·柯南道尔/丁钟华等/群众出版社/1981-8/53.00元/68.00元,9.2
动物农场,[英]乔治·奥威尔/荣如德/上海译文出版社/2007-3/10.00元,9.2
房思琪的初恋乐园,林奕含/北京联合出版公司/2018-1/45.00元,9.2
小王子,[法]圣埃克苏佩里/马振聘/人民文学出版社/2003-8/22.00元,9.0
天龙八部,金庸/生活.读书.新知三联书店/1994-5/96.0,9.1
撒哈拉的故事,三毛/哈尔滨出版社/2003-8/15.80元,9.2
安徒生童话故事集,（丹麦）安徒生/叶君健/人民文学出版社/1997-08/25.00元,9.2
哈利•波特,J.K.罗琳(J.K.Rowling)/苏农/人民文学出版社/2008-12-1/498.00元,9.7
人类简史:从动物到上帝,[以色列]尤瓦尔·赫拉利/林俊宏/中信出版社/2014-11/CNY68.00,9.1
沉默的大多数:王小波杂文随笔全编,王小波/中国青年出版社/1997-10/27.00元,9.1
围城,钱锺书/人民文学出版社/1991-2/19.00,8.9
平凡的世界（全三部）,路遥/人民文学出版社/2005-1/64.00元,9.0
霍乱时期的爱情,[哥伦比亚]加西亚·马尔克斯/杨玲/南海出版公司/2012-9-1/39.50元,9.0
明朝那些事儿（1-9）:限量版,当年明月/中国海关出版社/2009-4/358.20元,9.1
局外人,[法]阿尔贝·加缪/柳鸣九/上海译文出版社/2010-8/22.00元,9.0
杀死一只知更鸟,[美]哈珀·李/高红梅/译林出版社/2012-9/32.00元,9.2
笑傲江湖（全四册）,金庸/生活·读书·新知三联书店/1994-5/76.80元,9.0
月亮和六便士,[英]毛姆/傅惟慈/上海译文出版社/2006-8/15.00元,9.0
中国历代政治得失,钱穆/生活·读书·新知三联书店/2001/12.00元,9.2
肖申克的救赎,[美]斯蒂芬·金/施寄青/人民文学出版社/2006-7/29.90元,9.1
基督山伯爵,大仲马/周克希/上海译文出版社/1991-12-1/43.90元,9.0
东方快车谋杀案,[英]阿加莎·克里斯蒂/陈尧光/人民文学出版社/2006-5/18.00元,9.0
追风筝的人,[美]卡勒德·胡赛尼/李继宏/上海人民出版社/2006-5/29.00元,8.9
万历十五年,[美]黄仁宇/生活·读书·新知三联书店/1997-5/18.00元,8.9
夹边沟记事,杨显惠/花城出版社/2008-09/34.00元,9.2
嫌疑人X的献身,[日]东野圭吾/刘子倩/南海出版公司/2008-9/28.00,8.9
江城,[美]彼得·海斯勒/李雪顺/上海译文出版社/2012-1/36.00元,9.0
寻路中国:从乡村到工厂的自驾之旅,[美]彼得·海斯勒/李雪顺/上海译文出版社/2011-1/33.00元,9.0
刀锋,[英]毛姆/周煦良/上海译文出版社/2007-3/18.00元,9.0
呐喊,鲁迅/人民文学出版社/1973年3月/0.36元,8.9
新名字的故事:那不勒斯四部曲-02,[意]埃莱娜·费兰特/陈英/人民文学出版社/2017-4/59.00元,9.0
乡土中国,费孝通/上海人民出版社/2006-4/38.00,9.2
射雕英雄传（全四册）,金庸/生活·读书·新知三联书店/1999-04/47.00元,9.0
失踪的孩子:那不勒斯四部曲-04,[意]埃莱娜·费兰特/陈英/人民文学出版社/2018-7/62.00元,9.1
城南旧事:纪念普及版,林海音文/中国青年出版社/2003-7/16.00元,9.0
冰与火之歌:（1-5卷：权力的游戏、列王的纷争、冰雨的风暴、群鸦的盛宴、魔龙的狂,[美]乔治·R.R.马丁/谭光磊/重庆出版社/2013-10-1/330.00元,9.5
傲慢与偏见,[英]奥斯丁/张玲/人民文学出版社/1993-7/13.00元,8.9
黄金时代:时代三部曲,王小波/花城出版社/1999-3/19.00元,8.9
格林童话全集,[德国]格林兄弟/魏以新/人民文学出版社/1994-11/21.45元,9.0
我与地坛:史铁生代表作,史铁生/春风文艺出版社/2002-5/25.00元,9.1
历史深处的忧虑:近距离看美国之一,林达/生活·读书·新知三联书店/1997-5/19.00元,9.0
无人生还,[英]阿加莎・克里斯蒂/祁阿红/人民文学出版社/2008-3/19.00,8.9
白鹿原:20周年精装典藏版,陈忠实/人民文学出版社/2012-9/39.00元,9.2
文学回忆录（全2册）:1989—1994,木心口述/广西师范大学出版社/2013-1-10/98.00元,9.1
史记（全十册）,司马迁/（索隐）司马贞，（正义）张守节/中华书局/1982-11/125.00,9.5
神雕侠侣,金庸/有1996年11月北平第4次印本/生活·读书·新知三联书店/1994-5/76.80元,8.9
艺术的故事,[英]贡布里希(SirE.H.Gombrich)/范景中/广西美术出版社/2008-04/280.00,9.6
悲惨世界（上中下）,[法]雨果/李丹/人民文学出版社/1992-6/66.00元,9.0
上帝掷骰子吗:量子物理史话,曹天元/辽宁教育出版社/2006-1/32.00元,9.2
